"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 08 03:05:35 GMT 2022","Sun May 08 03:05:40 GMT 2022","5521","","Feature: Shopping Cart","","Feature: Shopping Cart","TC-001 - validates that an standard user can complete a purchase flow","TC-001 - validates that an standard user can complete a purchase flow",""
"passed","Sun May 08 03:05:27 GMT 2022","Sun May 08 03:05:32 GMT 2022","5126","","Feature: Shopping Cart","","Feature: Shopping Cart","TC-001 - validates that an standard user can complete a purchase flow","TC-001 - validates that an standard user can complete a purchase flow",""
