"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 06 07:32:53 GMT 2022","Fri May 06 07:33:01 GMT 2022","7263","","Feature: Shopping Cart","","Feature: Shopping Cart","TC-001 - validates that an standard user can complete a purchase flow","TC-001 - validates that an standard user can complete a purchase flow",""
"passed","Fri May 06 07:32:58 GMT 2022","Fri May 06 07:33:05 GMT 2022","6323","","Feature: Shopping Cart","","Feature: Shopping Cart","TC-001 - validates that an standard user can complete a purchase flow","TC-001 - validates that an standard user can complete a purchase flow",""
