"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 06 07:21:23 GMT 2022","Fri May 06 07:21:29 GMT 2022","5163","","Feature: Shopping Cart","","Feature: Shopping Cart","TC-001 - validates that an standard user can complete a purchase flow","TC-001 - validates that an standard user can complete a purchase flow",""
"passed","Fri May 06 07:21:31 GMT 2022","Fri May 06 07:21:36 GMT 2022","4583","","Feature: Shopping Cart","","Feature: Shopping Cart","TC-001 - validates that an standard user can complete a purchase flow","TC-001 - validates that an standard user can complete a purchase flow",""
